"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	14397	Unreliable
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	13290	Unreliable
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"2020 "	"2020"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	8176	Unreliable
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2017"	"2017"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	75132	Unreliable
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	79076	56.9
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	35	64387	54.4
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	78360	54.9
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	87118	27.5
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2018"	"2018"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	73323	Unreliable
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	49	78919	62.1
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	41	65014	63.1
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	31	75171	41.2
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	86957	28.7
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	37	78707	47.0
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	41	66354	61.8
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	33	71759	46.0
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	86415	24.3
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2020 "	"2020"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	71151	Unreliable
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	28	78033	35.9
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	59	67965	86.8
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	37	69148	53.5
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	40	85519	46.8
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2017"	"2017"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	130384	Unreliable
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	57	112101	50.8
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	40	115458	34.6
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	48	146693	32.7
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	27	154064	17.5
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2018"	"2018"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	126439	Unreliable
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	110814	52.3
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	38	114280	33.3
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	140295	16.4
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	153017	13.1
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2019"	"2019"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	124135	16.9
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	36	110426	32.6
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	113034	38.0
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	39	134337	29.0
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	151705	19.8
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2020 "	"2020"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	120545	19.9
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	63	109577	57.5
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	48	111896	42.9
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	39	129409	30.1
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	40	149795	26.7
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"2020 "	"2020"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	113241	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	40478	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	42443	56.5
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	27	39144	69.0
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2017"	"2017"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	26041	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	40683	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	37	38951	95.0
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2018"	"2018"	"55-64 years"	"55-64"	"All other drug-induced causes"	"D9"	10	38951	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2018"	"2018"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	26024	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	40192	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	39497	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	36	39401	91.4
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2019"	"2019"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	26563	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	54220	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	40183	57.2
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	38394	Unreliable
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	52	39600	131.3
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"2020 "	"2020"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	27035	Unreliable
	"New York County, NY"	"36061"	"White"	"2106-3"	"2017"	"2017"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	114353	Unreliable
	"New York County, NY"	"36061"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	257519	Unreliable
	"New York County, NY"	"36061"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	154846	19.4
	"New York County, NY"	"36061"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	133920	32.1
	"New York County, NY"	"36061"	"White"	"2106-3"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	124744	19.2
	"New York County, NY"	"36061"	"White"	"2106-3"	"2018"	"2018"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	111168	Unreliable
	"New York County, NY"	"36061"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	250109	13.6
	"New York County, NY"	"36061"	"White"	"2106-3"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	33	151719	21.8
	"New York County, NY"	"36061"	"White"	"2106-3"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	129225	34.8
	"New York County, NY"	"36061"	"White"	"2106-3"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	29	122533	23.7
	"New York County, NY"	"36061"	"White"	"2106-3"	"2018"	"2018"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	102712	Unreliable
	"New York County, NY"	"36061"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	44	248857	17.7
	"New York County, NY"	"36061"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	52	152195	34.2
	"New York County, NY"	"36061"	"White"	"2106-3"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	126371	23.7
	"New York County, NY"	"36061"	"White"	"2106-3"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	121286	37.1
	"New York County, NY"	"36061"	"White"	"2106-3"	"2019"	"2019"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	104323	20.1
	"New York County, NY"	"36061"	"White"	"2106-3"	"2020 "	"2020"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	109455	Unreliable
	"New York County, NY"	"36061"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	47	242676	19.4
	"New York County, NY"	"36061"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	47	151240	31.1
	"New York County, NY"	"36061"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	48	122793	39.1
	"New York County, NY"	"36061"	"White"	"2106-3"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	66	119705	55.1
	"New York County, NY"	"36061"	"White"	"2106-3"	"2020 "	"2020"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	105152	Unreliable
	"Niagara County, NY"	"36063"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	22959	Unreliable
	"Niagara County, NY"	"36063"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	22985	Unreliable
	"Niagara County, NY"	"36063"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	20894	Unreliable
	"Niagara County, NY"	"36063"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	22484	Unreliable
	"Niagara County, NY"	"36063"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	21125	94.7
	"Niagara County, NY"	"36063"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	23333	Unreliable
	"Oneida County, NY"	"36065"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	24293	Unreliable
	"Oneida County, NY"	"36065"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	21635	Unreliable
	"Oneida County, NY"	"36065"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	27710	Unreliable
	"Oneida County, NY"	"36065"	"White"	"2106-3"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	21729	Unreliable
	"Oneida County, NY"	"36065"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	23845	Unreliable
	"Oneida County, NY"	"36065"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	21906	Unreliable
	"Oneida County, NY"	"36065"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	23676	Unreliable
	"Oneida County, NY"	"36065"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	22204	Unreliable
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	49000	49.0
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	41497	48.2
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	52069	Unreliable
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	57485	Unreliable
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	48462	47.5
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	42069	Unreliable
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	49718	Unreliable
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	57414	Unreliable
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	48378	62.0
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	42756	51.5
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	47411	48.5
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	57047	Unreliable
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	31	48132	64.4
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	33	43633	75.6
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	45304	48.6
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	56364	Unreliable
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	35331	65.1
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	35473	Unreliable
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	43911	Unreliable
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	38	35354	107.5
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	35361	Unreliable
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	42095	49.9
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	41258	Unreliable
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	35926	83.5
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	35594	Unreliable
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	41415	Unreliable
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	35922	83.5
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	35719	56.0
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	39036	Unreliable
	"Orange County, NY"	"36071"	"White"	"2106-3"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	41085	Unreliable
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	14176	Unreliable
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	12523	Unreliable
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	13900	Unreliable
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	12676	Unreliable
	"Putnam County, NY"	"36079"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	9796	Unreliable
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	63643	Unreliable
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	71452	33.6
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	66679	Unreliable
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	67999	Unreliable
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	66722	Unreliable
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	65071	Unreliable
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	67265	29.7
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	60120	Unreliable
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	62438	Unreliable
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	33	67769	48.7
	"Queens County, NY"	"36081"	"White"	"2106-3"	"2017"	"2017"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	121421	Unreliable
	"Queens County, NY"	"36081"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	62	188242	32.9
	"Queens County, NY"	"36081"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	35	159451	22.0
	"Queens County, NY"	"36081"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	51	149206	34.2
	"Queens County, NY"	"36081"	"White"	"2106-3"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	143518	20.9
	"Queens County, NY"	"36081"	"White"	"2106-3"	"2018"	"2018"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	113401	Unreliable
