"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Ulster County, NY"	"36111"	"2019"	"2019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	36	169913	21.2
	"Ulster County, NY"	"36111"	"2020 "	"2020"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	71	169951	41.8
	"Warren County, NY"	"36113"	"2020 "	"2020"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	16	60946	Unreliable
	"Washington County, NY"	"36115"	"2020 "	"2020"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	15	57852	Unreliable
	"Wayne County, NY"	"36117"	"2018"	"2018"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	85228	Unreliable
	"Wayne County, NY"	"36117"	"2019"	"2019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	84952	Unreliable
	"Wayne County, NY"	"36117"	"2020 "	"2020"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	84432	Unreliable
	"Westchester County, NY"	"36119"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	130	924919	14.1
	"Westchester County, NY"	"36119"	"2017"	"2017"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	12	924919	Unreliable
	"Westchester County, NY"	"36119"	"2018"	"2018"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	152	913826	16.6
	"Westchester County, NY"	"36119"	"2018"	"2018"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	913826	Unreliable
	"Westchester County, NY"	"36119"	"2019"	"2019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	107	913968	11.7
	"Westchester County, NY"	"36119"	"2020 "	"2020"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	156	913577	17.1
	"Westchester County, NY"	"36119"	"2020 "	"2020"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	15	913577	Unreliable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Drug/Alcohol Induced Causes: Drug-induced causes"
"States: New York (36)"
"Ten-Year Age Groups: 5-14 years; 15-24 years; 25-34 years; 35-44 years; 45-54 years; 55-64 years; 65-74 years; 75-84 years; 85+"
"years"
"Year/Month: 2017; 2018; 2019; 2020"
"Group By: County; Year; Drug/Alcohol Induced Cause"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 13, 2023 9:47:20 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on May 13, 2023 9:47:20 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"4. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
