"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	46	130250	35.3
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	130250	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	32	227656	14.1
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	26	227656	11.4
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	22	172117	12.8
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	172117	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	38	137296	27.7
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	137296	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	35	129529	27.0
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	25	129529	19.3
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	36	224822	16.0
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	20	224822	8.9
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	49	171911	28.5
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	23	171911	13.4
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	70	134647	52.0
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	25	134647	18.6
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	68	128129	53.1
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	17	128129	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"65-74 years"	"65-74"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	19	94022	Unreliable
	"Monroe County, NY"	"36055"	"Female"	"F"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	53186	Unreliable
	"Monroe County, NY"	"36055"	"Female"	"F"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	53589	Unreliable
	"Monroe County, NY"	"36055"	"Female"	"F"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	45199	Unreliable
	"Monroe County, NY"	"36055"	"Female"	"F"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	53224	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	29	52319	55.4
	"Monroe County, NY"	"36055"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	40233	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	33	47120	70.0
	"Monroe County, NY"	"36055"	"Male"	"M"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	49082	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2018"	"2018"	"15-24 years"	"15-24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	51062	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	20	52253	38.3
	"Monroe County, NY"	"36055"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	52253	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	21	40476	51.9
	"Monroe County, NY"	"36055"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	40476	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	23	45140	51.0
	"Monroe County, NY"	"36055"	"Male"	"M"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	49158	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	23	52374	43.9
	"Monroe County, NY"	"36055"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	52374	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	30	41429	72.4
	"Monroe County, NY"	"36055"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	34	43167	78.8
	"Monroe County, NY"	"36055"	"Male"	"M"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	48990	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	22	52163	42.2
	"Monroe County, NY"	"36055"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	30	42205	71.1
	"Monroe County, NY"	"36055"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	42205	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	22	41835	52.6
	"Monroe County, NY"	"36055"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	41835	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	48696	49.3
	"Monroe County, NY"	"36055"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	48696	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	35	80609	43.4
	"Nassau County, NY"	"36059"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	17	80609	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	22	80205	27.4
	"Nassau County, NY"	"36059"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	17	80205	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	19	94621	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	17	94621	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	35	80455	43.5
	"Nassau County, NY"	"36059"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	24	80455	29.8
	"Nassau County, NY"	"36059"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	17	80603	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	80603	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	93942	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	22	81141	27.1
	"Nassau County, NY"	"36059"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	81141	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	23	80985	28.4
	"Nassau County, NY"	"36059"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	80985	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	27	88953	30.4
	"Nassau County, NY"	"36059"	"Male"	"M"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	19	94006	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2020 "	"2020"	"15-24 years"	"15-24"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	84958	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	40	80962	49.4
	"Nassau County, NY"	"36059"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	20	80962	24.7
	"Nassau County, NY"	"36059"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	30	81215	36.9
	"Nassau County, NY"	"36059"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	81215	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	87253	27.5
	"Nassau County, NY"	"36059"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	93762	25.6
	"New York County, NY"	"36061"	"Female"	"F"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	96547	Unreliable
	"New York County, NY"	"36061"	"Female"	"F"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	117742	Unreliable
	"New York County, NY"	"36061"	"Female"	"F"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	95935	Unreliable
	"New York County, NY"	"36061"	"Female"	"F"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	95935	Unreliable
	"New York County, NY"	"36061"	"Female"	"F"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	96953	Unreliable
	"New York County, NY"	"36061"	"Female"	"F"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	94790	Unreliable
	"New York County, NY"	"36061"	"Female"	"F"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	94790	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	118507	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	22	118507	18.6
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	35	102961	34.0
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	102961	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	21	88783	23.7
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	88783	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"65-74 years"	"65-74"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	62300	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	175566	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	18	175566	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	21	115769	18.1
	"New York County, NY"	"36061"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	115769	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	33	99232	33.3
	"New York County, NY"	"36061"	"Male"	"M"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	99232	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	39	87901	44.4
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	28	175294	16.0
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	175294	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	34	116415	29.2
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	23	96949	23.7
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	96949	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	41	88124	46.5
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	88124	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"65-74 years"	"65-74"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	64128	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"65-74 years"	"65-74"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	64128	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	22	170954	12.9
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	22	170954	12.9
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	36	115830	31.1
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	115830	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	34	94482	36.0
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	94482	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	73	87930	83.0
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	17	87930	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"65-74 years"	"65-74"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	25	65336	38.3
	"Niagara County, NY"	"36063"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	11688	Unreliable
	"Oneida County, NY"	"36065"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	14838	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	30715	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	24960	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	31401	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	30396	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	28271	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	30576	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	25638	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	27087	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	27087	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	31252	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	30558	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	30558	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	26225	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	26225	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	26176	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	26176	Unreliable
	"Onondaga County, NY"	"36067"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	30849	Unreliable
	"Orange County, NY"	"36071"	"Female"	"F"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	22437	Unreliable
	"Orange County, NY"	"36071"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	22817	Unreliable
